Date,Content
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
2025-03-04,(등록 후) 온라인 휴학 신청
2025-03-04,신편입생 수강신청
2025-03-04,1학기 개강
2025-03-04,2차 온라인 복학 신청
2025-03-07,재학생 수강신청 변경
2025-03-21,복학 마감
2025-03-28,휴학 마감
2025-03-29,수업일수 1/4선
2025-03-31,1차 수강철회
2025-04-07,수업일수 1/3
2025-04-15,개교기념일
2025-04-23,1학기 중간시험
2025-04-25,수업일수 1/2선
2025-05-07,제1회 졸업 종합시험
2025-05-09,2차 수강철회
2025-05-15,수업일수 2/3선
2025-05-20,한경체전(체육대회)
2025-06-02,전공 배정 및 변경 신청
2025-06-11,1학기 기말시험
2025-06-16,"복수, 부, 융합, 연계 전공 신청"
2025-06-23,종강
2025-06-23,1차 온라인 복학 신청
2025-06-24,하계 계절수업
2025-06-30,전과 및 재입학 신청
2025-06-30,(등록 전) 온라인 휴학 신청
