Date,Type,Menu
2025.06.16( 월 ),건강한끼(11:30~13:30),"육개장 (우:호주산)
<br/>명란떡갈비 (돈:국산)
<br/>허니버터감자구이
<br/>백미밥
<br/>부추적채겉절이
<br/>깍두기"
2025.06.17( 화 ),건강한끼(11:30~13:30),"제육볶음 (돈:국산)
<br/>들기름막국수
<br/>황태해장국
<br/>서리태콩밥
<br/>아삭이고추무침
<br/>포기김치"
2025.06.18( 수 ),건강한끼(11:30~13:30),"부대찌개 (돈:국산)
<br/>오코노미야끼 (오징어:중국산)
<br/>김자반
<br/>백미밥
<br/>시금치나물
<br/>깍두기"
2025.06.19( 목 ),건강한끼(11:30~13:30),"불낙볶음 (돈:국산, 낙지:베트남산)
<br/>미역국
<br/>고기왕만두찜 (돈:국산)
<br/>백미밥
<br/>콩나물
<br/>포기김치"
2025.06.20( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.21( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.22( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.09( 월 ),건강한끼(11:30~13:30),"짬뽕국 (오징어:국산)
<br/>언양식불고기 (돈:국산)
<br/>옹심이만두 (돈:국산)
<br/>백미밥
<br/>오이탕탕이
<br/>깍두기"
2025.06.10( 화 ),건강한끼(11:30~13:30),"김치사태찜 (돈:국산)
<br/>연두부*양념장
<br/>바지락수제비
<br/>백미밥
<br/>얼갈이된장무침
<br/>깍두기"
2025.06.11( 수 ),건강한끼(11:30~13:30),"순두부찌개
<br/>떡갈비 (돈:국산)
<br/>멸치마늘쫑볶음
<br/>백미밥
<br/>콩나물무침
<br/>포기김치"
2025.06.12( 목 ),건강한끼(11:30~13:30),"돼지김치짜글이 (돈:국산)
<br/>계란후라이*햄구이(돈:국산)
<br/>시금치나물
<br/>백미밥
<br/>도시락김
<br/>깍두기"
2025.06.13( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.14( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.15( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.02( 월 ),건강한끼(11:30~13:30),"육개장 (우:호주산)
<br/>치킨까스 (계:국산)
<br/>백미밥
<br/>꽈리메알장조림
<br/>그래놀라샐러드
<br/>포기김치"
2025.06.03( 화 ),건강한끼(11:30~13:30),미운영
2025.06.04( 수 ),건강한끼(11:30~13:30),"묵은지찜닭 (계:국산)
<br/>콩나물국
<br/>백미밥
<br/>어묵볶음
<br/>열무된장나물
<br/>깍두기"
2025.06.05( 목 ),건강한끼(11:30~13:30),"뼈없는감자탕 (돈:국산)
<br/>녹두전
<br/>백미밥
<br/>호박새우살볶음
<br/>양파장아찌
<br/>깍두기"
2025.06.06( 금 ),건강한끼(11:30~13:30),미운영
2025.06.07( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.08( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.26( 월 ),건강한끼(11:30~13:30),"배추된장국
<br/>닭볶음탕 (계:국산)
<br/>고추장멸치볶음
<br/>동부묵무침
<br/>백미밥
<br/>깍두기"
2025.05.27( 화 ),건강한끼(11:30~13:30),"미역국
<br/>간장돈사태찜 (돈:국산)
<br/>온두부찜
<br/>취나물무침
<br/>백미밥
<br/>볶음김치"
2025.05.28( 수 ),건강한끼(11:30~13:30),"부대찌개 (돈/계:국산)
<br/>연근땅콩조림
<br/>계란찜
<br/>오징어링
<br/>백미밥
<br/>깍두기"
2025.05.29( 목 ),건강한끼(11:30~13:30),"감자고추장찌개
<br/>돈육장조림 (돈:국산)
<br/>진미채버터볶음
<br/>백미밥
<br/>치커리유자무침
<br/>포기김치"
2025.05.30( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.31( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.06.01( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.19( 월 ),건강한끼(11:30~13:30),"육개장 (우:호주산)
<br/>새우까스
<br/>비엔나케찹볶음 (돈:국산)
<br/>백미밥
<br/>유채나물겉절이
<br/>깍두기"
2025.05.20( 화 ),건강한끼(11:30~13:30),"된장찌개
<br/>고추장불고기 (돈:국산)
<br/>김구이
<br/>고구마밥
<br/>취나물무침
<br/>포기김치"
2025.05.21( 수 ),건강한끼(11:30~13:30),"돈육김치찌개 (돈:국산)
<br/>닭강정 (계:국산)
<br/>메알장조림
<br/>백미밥
<br/>도시락김
<br/>깍두기"
2025.05.22( 목 ),건강한끼(11:30~13:30),"옹심이만두국 (돈:국산)
<br/>떡갈비부추무침 (돈:국산)
<br/>한식잡채
<br/>백미밥
<br/>치커리겉절이
<br/>포기김치"
2025.05.23( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.24( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.25( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.12( 월 ),건강한끼(11:30~13:30),"된장찌개
<br/>시래기밥*양념장
<br/>진미채쫄면
<br/>김구이
<br/>깻잎완자 (돈:국산)
<br/>깍두기"
2025.05.13( 화 ),건강한끼(11:30~13:30),"황태해장국
<br/>안동찜닭 (계:국산)
<br/>쥐어채볶음
<br/>백미밥
<br/>도토리묵야채무침
<br/>깍두기"
2025.05.14( 수 ),건강한끼(11:30~13:30),"참치김치찌개
<br/>감자조림
<br/>우불고기 (호주산)
<br/>백미밥
<br/>김구이
<br/>깍두기"
2025.05.15( 목 ),건강한끼(11:30~13:30),"부대찌개 (돈:국산)
<br/>계란찜
<br/>피쉬앤칩스
<br/>백미밥
<br/>상추겉절이
<br/>깍두기"
2025.05.16( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.17( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.18( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.05( 월 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.06( 화 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.07( 수 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.08( 목 ),건강한끼(11:30~13:30),"뼈없는감자탕 (돈:국산)
<br/>우엉잡채 (우:호주산)
<br/>콘치즈비엔나 (돈:국산)
<br/>백미밥
<br/>부추적채겉절이
<br/>깍두기"
2025.05.09( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.10( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.11( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.04.28( 월 ),건강한끼(11:30~13:30),"고추잡채*화권 (돈:국산)
<br/>갈비만두  (돈:국산)
<br/>백미밥
<br/>매생이계란국
<br/>청경채겉절이
<br/>포기김치"
2025.04.29( 화 ),건강한끼(11:30~13:30),"북어해장국
<br/>부대볶음 (돈:국산)
<br/>백미밥
<br/>떡어묵볶음
<br/>참나물샐러드
<br/>깍두기"
2025.04.30( 수 ),건강한끼(11:30~13:30),"얼큰닭개장 (계:국산)
<br/>꼬마돈까스 (돈:국산)
<br/>백미밥
<br/>연두부*양념장
<br/>흑임자연근샐러드
<br/>포기김치"
2025.05.01( 목 ),건강한끼(11:30~13:30),"팽이된장국
<br/>마파두부
<br/>백미밥
<br/>생선까스유린기
<br/>얼갈이 나물
<br/>포기김치"
2025.05.02( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.03( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.05.04( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.04.21( 월 ),건강한끼(11:30~13:30),"소고기콩나물밥*양념장 (홎산)
<br/>얼갈이된장국
<br/>언양식불고기 (돈:국산)
<br/>구이김
<br/>유채나물
<br/>포기김치"
2025.04.22( 화 ),건강한끼(11:30~13:30),"미나리 샤브국 (우:호주산)
<br/>우엉잡채
<br/>두부구이
<br/>백미밥
<br/>오징어젓갈
<br/>포기김치"
2025.04.23( 수 ),건강한끼(11:30~13:30),"부대찌개 (돈:국산)
<br/>새우까스
<br/>펜네까르보나라 (돈:국산)
<br/>백미밥
<br/>치커리사과무침
<br/>깍두기"
2025.04.24( 목 ),건강한끼(11:30~13:30),"차돌된장찌개 (우:호주산)
<br/>편육냉채 (돈:국산)
<br/>개성감자만두 (돈:국산)
<br/>백미밥
<br/>시금치
<br/>포기김치"
2025.04.25( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.04.26( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.04.27( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.04.14( 월 ),건강한끼(11:30~13:30),"미역국
<br/>백미밥
<br/>묵은지사태찜 (돈:국산)
<br/>새우계란찜
<br/>연근땅콩조림
<br/>깍두기
<br/>개교기념일 기념! 롤케이크"
2025.04.15( 화 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.04.16( 수 ),건강한끼(11:30~13:30),"떡만두국 (돈:국산)
<br/>매콤콩나물불고기 (돈:미국산)
<br/>백미밥
<br/>알감자버터구이
<br/>취나물무침
<br/>포기김치"
2025.04.17( 목 ),건강한끼(11:30~13:30),"두부김치국
<br/>토마토소스미트볼 (돈:국산)
<br/>닭가슴살샐러드 (계:국산)
<br/>백미밥
<br/>건새우마늘쫑볶음
<br/>깍두기"
2025.04.18( 금 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.04.19( 토 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
2025.04.20( 일 ),건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.
